uen,hdb_registration_no,company_name,address,postal_code,email_address,contact_no
24143000C ,HB-01-0248E    ,EURO CONTRACTORS                                                                                    ,1 CRANE ROAD # - ,429350,EUROCONTRACTORS@SINGNET.COM.SG                    ,64470271
31147300L ,HB-01-0253A    ,GOLDEN CITY DECOR ENTERPRISE                                                                        ,1 JOO CHIAT RD # 03-1019 JOO CHIAT COMPLEX,420001,STEVEN@GOLDENCITYDECOR.COM.SG                     ,67472412
32730100K ,HB-01-0273G    ,EKO CONSTRUCTION                                                                                    ,62A JLN EUNOS # - ,419509,BETHNAL@SINGNET.COM.SG                            ,67454388
35868200B ,HB-01-0365E    ,BOON BEE GENERAL CONSTRUCTION                                                                       ,14 TAGORE AVENUE # - ,787838,BOONBEEGENERALCONSTRUCTION@HOTMAIL.COM            ,67378653
32792500X ,HB-01-0385C    ,AIK SENG RENOVATION WORKS                                                                           ,116 JURONG EAST ST 13 # 10-392 ,600116,ONG6446@YAHOO.COM.SG                              ,65676490
33524000C ,HB-01-0426G    ,CONNAN RENOVATION CONTRACTORS                                                                       ,7030 Ang Mo Kio Ave 5 # 09-10 Northstar@AMK,569880,TOHPOHHUAT57@GMAIL.COM                            ,63633473
34169600E ,HB-01-0456H    ,CHENG HENG HUAT CONTRACTOR                                                                          ,280 WOODLANDS IND. PARK E5 # 05-07 HARVEST @ WOODLANDS,757322,CHENGHENGHUATWK@YAHOO.COM.SG                      ,67349551
36200400E ,HB-01-0473E    ,BOON BROS. INTERIOR & ENGR.                                                                         ,560 BALESTIER RD # - ,329876,BOONBROS@HOTMAIL.COM                              ,68531549
28998700L ,HB-01-0545E    ,HIAP KIN SENG TRADING                                                                               ,24 JALAN GENENG # - ,538332,HIAPKINSENG1951@GMAIL.COM                         ,62844051
09267000L ,HB-01-0549Z    ,APPLIED CORPORATION                                                                                 ,100 JLN SULTAN # 03-32 SULTAN PLAZA,199001,APPLIEDCORPORATION@YAHOO.COM.SG                   ,62934709
198302365R,HB-01-0561G    ,DECORILLE PTE LTD                                                                                   ,21 Hougang Ave 3 # 06-241 Hougang View,530021,ENQUIRY@DECORILLE.COM                             ,67496688
33015800K ,HB-01-0564H    ,EE CHUAN GENERAL CONTRACTOR & TRADING                                                               ,193 RIVERVALE DRIVE # 04-779 ,540193,EECHUAN84@YAHOO.COM.SG                            ,64892342
198802451M,HB-01-0568A    ,ALUMNI CONSTRUCTION & TRADING PTE. LTD.                                                             ,20 ANG MO KIO IND PARK 2A # 02-06 AMK TECHLINK,567761,ALUMNICT@SINGNET.COM.SG                           ,64829556
36001200X ,HB-01-0580B    ,ART OF CLASSIC                                                                                      ,986A BUANGKOK CRESCENT # 02-44 HDB Flat,531986,AOCTKLIM@GMAIL.COM                                ,65706239
20224200E ,HB-01-0599E    ,JOO MONG RENOVATION CONTRACTOR                                                                      ,686B CHOA CHU KANG CRESCENT # 09-236 ,682686,EHSIEWLAN@GMAIL.COM                               ,63147678
40876000A ,HB-01-0615G    ,CHARADE RENOVATION DESIGN                                                                           ,170 UPPER BUKIT TIMAH RD # 04-05 BUKIT TIMAH SHOPPING CENTRE,588179,CHARADER@SINGNET.COM.SG                           ,64680807
200712913K,HB-01-0616B    ,DECORMARK DESIGN PTE. LTD.                                                                          ,280 Woodlands Industrial Park E5 # 03-25 Harvest @ Woodlands,757322,ENQUIRY@DECORMARK.COM.SG                          ,65615055
29197400K ,HB-01-0617E    ,MARKS CONTRACT & FURNITURE DESIGN COMPANY                                                           ,7 Marsiling Drive # 06-58 ,730007,HAMYOWKIANG@GMAIL.COM                             ,62746517
39483100D ,HB-01-0620F    ,A.N.W. GENERAL RENOVATIONS                                                                          ,685C CHOA CHU KANG CRESCENT # 07-200 ,683685,ANW.RENO@YAHOO.COM.SG                             ,67672213
32970700X ,HB-01-0639Z    ,ACE-MEN RENOVATION & TRADING                                                                        ,608 ANG MO KIO AVE 5 # 01-2783 ,560608,ACEMEN3@GMAIL.COM                                 ,64599719
34475200C ,HB-01-0668D    ,AIK JOO CONTRACTOR                                                                                  ,6 WOODLANDS ROAD 399F YEW TEE INDUSTRIAL E # - ,678006,GLYNTOCK@AIKJOO.COM                               ,68920933
10726400E ,HB-01-0800F    ,LOW KENG SIANG CONTRACTOR CO                                                                        ,3032A UBI RD 3 # 01-126 ,408660,LYNDALOW711@YAHOO.COM                             ,62415487
48614100D ,HB-01-2085H    ,3RD DIMENSION & ASSOCIATES                                                                          ,195 PASIR RIS ST 12 # 10-84 ,510195,JIMMY3RD@SINGNET.COM.SG                           ,65813058
50983400X ,HB-01-2255E    ,TECK WIN FURNITURE AND RENOVATION                                                                   ,205 PETIR RD # 07-599 ,670205,SKLAU205@HOTMAIL.COM                              ,67661087
197401232M,HB-01-2259Z    ,YANG KWANG MANUFACTURING PTE LIMITED                                                                ,9005 TAMPINES ST 93 # 01-242 ,528839,YANGKWANG74@GMAIL.COM                             ,67840269
52804420J ,HB-01-2373H    ,U-GATE DESIGN & RENOVATION                                                                          ,7 marine vista # 17-11 neptune court,449031,BERNARDGEH@U-GATE.COM.SG                          ,68423221
199308335C,HB-01-2376Z    ,WAN SERN METAL INDUSTRIES PTE LTD                                                                   ,31 TUAS AVE 8 # - ,639245,ENQUIRY@WANSERN.COM.SG                            ,68622323
46597200D ,HB-01-2382H    ,HAN FONG ALUMINIUM WORKS                                                                            ,5060 ANG MO KIO IND PK 2 # 01-1227 ,569563,ALUMINIUM@HANFONG.COM.SG                          ,64821836
38854800B ,HB-01-2384F    ,SINCERE ALUMINIUM CONSTRUCTION                                                                      ,78 GEYLANG BAHRU # 01-2900 ,399686,SINCERE_ALUMINIUM@HOTMAIL.COM                     ,98626786
51702200A ,HB-01-2385Z    ,K B GENERAL CONTRACTOR                                                                              ,3015 UBI RD 1 # 02-250 ,408704,KBGC51@HOTMAIL.COM                                ,68418572
50053500X ,HB-01-2386A    ,YONG HENG ALUMINIUM ENGINEERING WORK                                                                ,10 ADMIRALTY ST # 06-51 NORTH LINK BUILDING,757695,YONGHENGAEWORK@GMAIL.COM                          ,67524182
36337900B ,HB-01-2388G    ,HOE CHONG BENG GENERAL ALUMINIUM CONTRACTOR                                                         ,280 Woodland Industrial Park E5 # 07-11 HARVEST@ Woodlands,757322,HCB1986@GMAIL.COM                                 ,67348722
26587600A ,HB-01-2389B    ,ONG & KOH SERVICES ENTERPRISE                                                                       ,205 KRANJI RD # - ,739482,JENNYLEEMETALS@YAHOO.COM.SG                       ,63672124
40137000C ,HB-01-2390E    ,QIAN JIN ALUMINIUM & DECORATION                                                                     ,9010 TAMPINES ST 93 # 02-71 ,528844,QIANJIN1@SINGNET.COM.SG                           ,67815328
42218400D ,HB-01-2391H    ,SIN KAI TECK SUPPLIER                                                                               ,10 ANSON RD # 10-06 INTERNATIONAL PLAZA,79903,SINKAITECK@YAHOO.COM.SG                           ,64491959
46491100A ,HB-01-2392C    ,CHYE HENG ALUMINIUM DECORATION WORKS                                                                ,5070 ANG MO KIO IND PK 2 # 01-1517 HDB,569573,SAANSAAN_LIM@HOTMAIL.COM                          ,64834438
41001500L ,HB-01-2394Z    ,CHUAN HENG ALUMINIUM & GLASS ENTERPRISE                                                             ,9 DEFU LANE 3 # - DEFU IND. PK.,539441,CHUAN_HENG88@HOTMAIL.COM                          ,67870834
199205185D,HB-01-2397G    ,CENTRAL ALUMINIUM & GLASS CONSTRUCTION PTE LTD                                                      ,132 WOODLANDS IND PK E5 # - ,757853,CTRALUM@SINGNET.COM.SG                            ,63687137
32272400K ,HB-01-2400H    ,SIN GUAN TENG ENGINEERING WORK                                                                      ,3013 BEDOK IND PK E # 01-2124 ,489979,JEFF_RAUL89@HOTMAIL.COM                           ,64437138
48031200A ,HB-01-2409H    ,SEVE ENTERPRISE                                                                                     ,3027 UBI ROAD 1 # 02-114 ,408720,SEVE1993@HOTMAIL.COM                              ,68461351
51343000L ,HB-01-2412Z    ,WINDOW JOCKEY ALUMINIUM AND CONSTRUCTION                                                            ,180 PAYA LEBAR ROAD # 07-02 YI GUANG FACTORY,409032,WINDOWJOCKEY@HOTMAIL.COM                          ,62879716
33850600D ,HB-01-2414D    ,ACMECA ENGINEERING WORKS                                                                            ,22 WOODLANDS LINK # 04-20 WOODLANDS EAST IND EST,738734,ACMECA@OUTLOOK.COM                                ,67560565
51592900W ,HB-01-2417E    ,MATRIX RENOVATION CONTRACTOR                                                                        ,16 Marsiling Industrial Estate Road 9 # 01-23 ,739172,JIMMY_MATRIX2004@YAHOO.COM.SG                     ,64000846
44684900J ,HB-01-2419C    ,F & A ALUMINIUM WORKS                                                                               ,37 DEFU LANE 10 # 02-73 ,539214,FNAWORKS@SINGNET.COM.SG                           ,62879861
200402591D,HB-01-2678G    ,CONCEPT DESIGN + ASSOCIATES PTE LTD                                                                 ,7030 ANG MO KIO AVE 5 # 09-55 NORTHSTAR @ AMK,569880,DESIGN@CONCEPTWERKE.COM.SG                        ,67422320
49466000K ,HB-01-2689E    ,APCON GENERAL CONTRACTOR                                                                            ,25A Hillview Avenue # 05-11 Glendale Park,669617,APCON_WONG@YAHOO.COM.SG                           ,66336079
199404607G,HB-01-2877B    ,ASHLEY BUILDING SERVICES (S) PTE LTD                                                                ,106 clementi street 12 # 02-46 ,120106,KEITH@ASHLEY.COM.SG                               ,67734302
52877550B ,HB-01-2881F    ,MU DESIGN ASSOCIATES                                                                                ,122 Eunos Ave 7 # 02-07 Richfield Industrial Centre,409575,MU.I.D@HOTMAIL.SG                                 ,68760437
51168800L ,HB-01-3064B    ,BC INTERIOR                                                                                         ,38 WOODLANDS IND PK E1 # 07-18 ,757700,BCYONG56@SINGNET.COM.SG                           ,63840718
52833479D ,HB-01-3065E    ,WEN YONG CONSTRUCTION                                                                               ,224 LOYANG AVE # 04-01 LOYANG VALLEY,509069,LBY_WENYONG8@YAHOO.COM.SG                         ,68422101
52903848W ,HB-01-3066H    ,TECH-TEAM RENOVATION & CONSTRUCTION                                                                 ,86 LOR 2 TOA PAYOH # 06-343 ,310086,TONGLIANMENG@GMAIL.COM                            ,63584726
52900950A ,HB-01-3069Z    ,E.HUAT GENERAL RENOVATION                                                                           ,3018 BEDOK NORTH ST 5 # 05-25 EASTLINK,486132,DEWEI_LIVERPOOL@YAHOO.COM.SG                      ,62441835
48444100X ,HB-01-3073B    ,TRENDS INTERIOR & DECOR RENOVATORS TRADING ENTERPRISE                                               ,1014 Geylang East Ave 3 # 02-224 ,389729,IDTRENDS67@GMAIL.COM                              ,67412294
52893220M ,HB-01-3075H    ,MIC MARCO CONTRACT                                                                                  ,204 HOUGANG ST 21 # 03-99 ,530204,MICMARCO@HOTMAIL.COM                              ,62891619
200207072K,HB-01-3206D    ,U-HOME INTERIOR DESIGN PTE. LTD.                                                                    ,81 Ubi Avenue 4 # 01-20 UB One,408830,INFORMATION@U-HOME.COM.SG                         ,67574492
52864343J ,HB-01-3207G    ,A ACME DESIGN                                                                                       ,298 Balestier Road # - ,329736,ACMEDESIGN@OUTLOOK.COM                            ,63580105
200303251C,HB-01-3340A    ,HOME CONCEPTS INTERIOR & DESIGN PTE LTD                                                             ,18 BOON LAY WAY # 01-96 TradeHub 21,609966,ENQUIRY@HOMECONCEPTS21.COM                        ,65677724
198103381G,HB-01-3342G    ,MU INTERIOR PTE LTD                                                                                 ,178 Paya Lebar Road # 04-11 Paya Lebar 178,409030,LIMKC@MUINTERIOR.COM                              ,63466602
52852370L ,HB-01-3344E    ,SING MAN FURNITURE & RENOVATION                                                                     ,38 WOODLANDS IND. PK. E1 # 07-14 ,757700,SINGMAN0714@GMAIL.COM                             ,63141990
52915771C ,HB-01-3345H    ,PATDECO INTERIOR BUILDER                                                                            ,13 OLD AIRPORT RD # 01-63 ,390013,PATDECO@ROCKETMAIL.COM                            ,62982322
08081400W ,HB-01-3456Z    ,TANG CHIN KUAN FURNITURE CONSTRUCTION                                                               ,1007 EUNOS AVE 7 # 01-37 EUNOS INDUSTRIAL EST,409578,TCKFC@SINGNET.COM.SG                              ,67426420
200204521Z,HB-01-3682A    ,ATLANTIS AQUATIC LIFESTYLE PTE LTD                                                                  ,26 Sin Ming Lane # 05-111 Midview City,573971,ENQUIRY@ATLANTIS-LIFESTYLE.COM                    ,65690378
199702660E,HB-01-3687H    ,ARJ CONSTRUCTION PTE LTD                                                                            ,5050 ANG MO KIO INDUSTRIAL PK 2 # 01-1017 ,569553,ARJCONST@GMAIL.COM                                ,64831211
53047070E ,HB-01-3748B    ,JACKSON DESIGN AND RENOVATION                                                                       ,22 KRANJI WAY # - ,739433,JACKSONDESIGN26@GMAIL.COM                         ,65619642
52998261K ,HB-01-3749E    ,HOME CHOICE SERVICES & CONSULTANT                                                                   ,18 SIN MING LANE # 08-05 MIDVIEW CITY,573960,ALEX@HOMECHOICE.COM.SG                            ,66592878
200505534M,HB-01-3750H    ,CISEERN DESIGN PTE LTD                                                                              ,13 KAKI BUKIT ROAD 4 # 03-15/16 BARTLEY BIZ CENTRE,417807,LYNN@CISEERN.COM                                  ,65528160
200606704D,HB-01-3805C    ,RED DESIGNERS PTE LTD                                                                               ,18 Dickson Road # - ,209502,SALES@REDDESIGNERS.COM.SG                         ,62990122
200816750H,HB-01-3807Z    ,EXODUS 31 DESIGN PTE. LTD.                                                                          ,101 Joo Chiat Terrace # - ,427255,SHARON@EXODUS31DESIGN.COM                         ,63487943
200003653K,HB-01-3809D    ,SAN TAR CONSTRUCTION PTE. LTD.                                                                      ,1 YISHUN STREET 23 # 03-45 YS-ONE,768441,SANTARPL@SINGNET.COM.SG                           ,63625565
200507299M,HB-01-3810G    ,KITZIG DESIGN STUDIO PTE LTD                                                                        ,63 Hillview Ave # 03-06 Lam Soon Industrial Building,669569,KELVIN@KITZIG.COM.SG                              ,62584586
200300593H,HB-01-3813H    ,THE ORANGE SPHERE HOLDINGS PTE. LTD.                                                                ,14 ARUMUGAM ROAD # 01-03 LTC BUILDING C,409959,TOSHDB@THEORANGECUBE.COM                          ,63377570
200904057R,HB-01-3873G    ,THE LIVING AGE PTE. LTD.                                                                            ,998 Toa Payoh North # 07-22 ,318993,BERNARD@THELIVINGAGE.COM.SG                       ,66552298
200504830R,HB-01-3874B    ,FREE SPACE PTE. LTD.                                                                                ,8 UBI ROAD 2 # 02-07 ZERVEX,408538,JEFFREY@FSI.COM.SG                                ,62928885
T06LL0099B,HB-01-3876H    ,DESIGNING MATTERS LLP                                                                               ,8 Jalan Batai # - ,578684,EUGENE@WALL2WALL.COM.SG                           ,66851195
30579700W ,HB-02-0055A    ,GOOD TERM CONTRACTOR DESIGN                                                                         ,810 GEYLANG RD # 02-67 CITY PLAZA,409286,GOODTERM.WILSON@GMAIL.COM                         ,68424639
33974800A ,HB-02-0056D    ,FORMATIVE TRADING                                                                                   ,354 CLEMENTI AVE 2 # 01-219 ,120354,FORMATIVE_TRADING@YAHOO.COM                       ,67732533
10393000X ,HB-02-0067B    ,FOK KAN GENERAL CONTRACTOR                                                                          ,149 GEYLANG ROAD # 03-07 ,389233,MARCUSYUE@SINGNET.COM.SG                          ,68484195
31021900X ,HB-02-0068E    ,GENCON BUILDER & MATERIALS SUPPLIER                                                                 ,229 JOO CHIAT ROAD # 03-02 ,427489,JIMMYCHEAH1604@GMAIL.COM                          ,64421119
32664100M ,HB-02-0069H    ,GHIM HONG DECORATION CONTRACTOR                                                                     ,177 TOA PAYOH CENTRAL # 01-162 ,310177,THOMASNG73@YAHOO.COM.SG                           ,62504942
33595000X ,HB-02-0102G    ,HENG AH GENERAL CONTRACTOR                                                                          ,1 DEFU LANE 4 # - ,539406,CHUAHENGAH@GMAIL.COM                              ,67550837
33531700J ,HB-02-0103B    ,GUAN SIM RENOVATION CONTRACTOR                                                                      ,12 JALAN TAMBUR # - ,576782,YAP_GUANSIM@YAHOO.COM.SG                          ,65530678
24889200B ,HB-02-0116F    ,K. INSPRIZAL DESIGN                                                                                 ,55 Lengkok Bahru # 01-397 ,151055,JACQUELINE9988@YAHOO.COM                          ,64713485
29435200K ,HB-02-0121B    ,LEE KIM SENG GENERAL CONTRACTOR                                                                     ,566 SIMS AVENUE # - ,387597,LEEKIMSENG.G.C@HOTMAIL.SG                         ,62583017
24880500B ,HB-02-0148B    ,WING KHIONG RENOVATION & TRADING                                                                    ,57 GEYLANG BAHRU # 01-3501 ,330057,WKCONST@SINGNET.COM.SG                            ,62942067
22697200C ,HB-02-0166B    ,CONCEPT LIVING DESIGN & BUILD                                                                       ,131 MARSILING RISE # 01-200 ,730131,CONCEPT_LIVING@YAHOO.COM.SG                       ,63670781
53107897C ,HB-02-0172A    ,FORTUNA RENOVATION & TRADING ENTERPRISES                                                            ,162B RIVERVALE CRESCENT # 12-218 ,542162,FORTUNARENO.GEW@GMAIL.COM                         ,66118447
31761200W ,HB-02-0178C    ,KWEI YEW CONSTRUCTION                                                                               ,826 TAMPINES ST 81 # 01-110 ,520826,KYCONSTRUCTION@GMAIL.COM                          ,66485090
38664100E ,HB-02-0188F    ,GARRICK DESIGN STUDIO                                                                               ,68 KAKI BUKIT AVENUE 6 # 02-07 ARK @ KB,417896,SALES@GDS.COM.SG                                  ,63638438
31229900A ,HB-02-0191D    ,HONG TECK HUAT COLOUR WORLD ENTERPRISE                                                              ,10 ANSON ROAD # 05-16 INTL PLAZA,79903,THIANCHAI2@HOTMAIL.COM                            ,67674123
32935500K ,HB-02-0216Z    ,JIPSON CONTRACTOR                                                                                   ,440 PASIR RIS DRIVE 4 # 03-05 ,510440,JIPCON@HOTMAIL.COM                                ,64016844
200406028D,HB-02-0225Z    ,AFFLUENCE RENOVATION PTE. LTD.                                                                      ,10 ADMIRALTY STREET # 06-57 NORTHLINK BUILDING,757695,PATRICK@AFFLUENCERENO.COM                         ,67889384
21236700E ,HB-02-0227D    ,GRACIOUS ID                                                                                         ,93 Whampoa Drive # 07-108 ,320093,KONGKINHONG@GMAIL.COM                             ,62512138
21089500D ,HB-02-0254D    ,HO SERN RENOVATION SERVICE                                                                          ,6 LORONG 36 GEYLANG RD # - ,398141,PANGKH65@YAHOO.COM                                ,67438662
25093600C ,HB-02-0260F    ,FATT CHAN DECORATION GENERAL CONSTRUCTION                                                           ,44 BENDEMEER ROAD # 01-1466 ,330044,FATTCHANDECO@YAHOO.COM.SG                         ,62981439
26325700B ,HB-02-0262A    ,MENG DEZIGN & BUILD                                                                                 ,18 Marsiling Industrial Eastate Rd 9 # 01-08 ,739173,MENGINTERIORDESIGN@YAHOO.COM.SG                   ,68977252
200302802Z,HB-02-0276H    ,ADD SPACE DESIGN PTE. LTD.                                                                          ,507 Balestier Road # - ,329847,DESIGN90024890@GMAIL.COM                          ,62548171
39010600C ,HB-02-0289A    ,HAN YONG BUILDING RENOVATION CONTRACTOR                                                             ,No. 53 LENTOR ST # - ,786776,THERESALIM@HANYONG.SG                             ,62513197
35761600J ,HB-02-0296F    ,GUAN KONG RENOVATION CONTRACTOR                                                                     ,431 CLEMENTI AVENUE 3 # 01-358 ,120431,SERENA_KOTSUKI@HOTMAIL.COM                        ,67912268
200916626E,HB-02-0314F    ,D'ESPRIT INTERIORS PTE. LTD.                                                                        ,8 BOON LAY WAY # 06-10 8 @ TRADEHUB 21,609964,DENNIS@DESPRIT.COM                                ,65154615
33100100D ,HB-02-0315Z    ,S S LIM CONTRACTORS                                                                                 ,541 BALESTIER RD # - ,329863,SSLIMCONTRACTORS@YAHOO.COM.SG                     ,67827765
30119400M ,HB-02-0329E    ,POH HUAT HWEE CONTRACTOR                                                                            ,55 serangoon north ave 4 # 07-03 s9,555859,PHHDESIGN@YAHOO.COM.SG                            ,62503348
08279600M ,HB-02-0351Z    ,KOAH CHAN BOON GENERAL CONTRACTOR                                                                   ,123B RIVERVALE DR # 09-139 ,542123,CBKOAH@GMAIL.COM                                  ,64894654
201422807Z,HB-02-0370A    ,YHL DESIGN & BUILD PTE. LTD.                                                                        ,100 Woodlands Industrial Park E3 # - ,757837,YHLANTHONY@YAHOO.COM.SG                           ,63674679
31169000M ,HB-02-0377F    ,GREEN ISLAND RENOVATION WORKS                                                                       ,9B JALAN PERNAMA # - ,499251,GREENISLAND.CK@GMAIL.COM                          ,65457588
200416909E,HB-02-0431F    ,GREAT OASIS ASIAN TRADING COMPANY PTE LTD                                                           ,68 JLN CHEMPAKA KUNING # - ,489106,VICTORY_BIZ@SINGNET.COM.SG                        ,64450260
198901552E,HB-02-0450Z    ,DESHIN INTERIOR DECORATION PTE LTD                                                                  ,80 PLAYFAIR ROAD # 01-16 KAPO FACTORY BUILDING,367998,DESHININTERIOR@GMAIL.COM                          ,63827690
35969000M ,HB-02-0472B    ,KOH HENG HOCK TRADING & RENOVATION                                                                  ,3A Toh Guan Road East # - ,608834,KKH5613@GMAIL.COM                                 ,68521741
35469500B ,HB-02-0504Z    ,HOMEWOOD RENOVATION TRADING ENTERPRISE                                                              ,290 MACPHERSON RD # - ,348611,HOMEWOODDESIGN88@GMAIL.COM                        ,62892336
34768000C ,HB-02-0547C    ,HOMEWELL IMAGE                                                                                      ,279 BALESTIER RD # 02-16 BALESTIER POINT,329727,HOMEWELL@SINGNET.COM.SG                           ,62503880
35089200L ,HB-02-0600H    ,JIAMEI FURNISHINGS                                                                                  ,23 LENGKONG ENAM # - ,417590,DAVID_TAN8@HOTMAIL.COM                            ,64655801
22151200D ,HB-02-0677D    ,HO HO ENGINEERING AND RENOVATION WORKS                                                              ,51 KAKI BUKIT IND TERRACE # - ,416131,HOHOENGINEERING1976@YAHOO.COM.SG                  ,67478919
20044600B ,HB-02-0697B    ,MAY HENG GENERAL CONTRACTOR                                                                         ,54 GEYLANG BAHRU # 04-3591 ,330054,WILLIAMTEY@OUTLOOK.COM                            ,62981776
31047300D ,HB-02-0698E    ,HOME HARVEST DESIGN & BUILD                                                                         ,30 SEMBAWANG DRIVE # 11-07 SUN PLAZA,757713,KENITA.CLN@GMAIL.SG                               ,65553383
30406000C ,HB-02-0702Z    ,WAN SOON LEE FURNITURE & CONSTRUCTION                                                               ,29 SUNGEI KADUT ST 4 # - ,729054,WANSOONLEE@YAHOO.COM.SG                           ,63682481
21545100K ,HB-02-0710F    ,LENG HENG GENERAL CONTRACTORS COMPANY                                                               ,3 BUNGA RAMPAI PLACE # - ,539699,SUNNY_WEATHER_DAY@HOTMAIL.COM                     ,62863552
